snapshot_date,dataset_generation,variant,training_stage,source_variant,record_type,local_step,new_run_tokens,cumulative_tokens,assistant_ppl,combined_ppl,train_ppl,target_top1_pct,first_answer_pct,eos_pct,plastic_drift,effective_epochs,elapsed_hours,status,notes
2026-07-22,pythia_ultrachat_filtered_v1,pythia_1.4b_ate_h1_l1,fresh,,initial_eval_record,10,1124355,1124355,5.223410,5.261568,4.560386,60.126803,1.313715,0.210194,0.000000000,0.022222,0.051838,valid,"First stored row; evaluation represents the initial expanded model"
2026-07-22,pythia_ultrachat_filtered_v1,pythia_1.4b_ate_h1_l1,fresh,,eval,100,11052595,11052595,3.639846,3.626981,3.598060,66.116865,46.978455,84.445612,0.000175458,0.222222,0.469987,valid,"Fresh h1/l1"
2026-07-22,pythia_ultrachat_filtered_v1,pythia_1.4b_ate_h1_l1,fresh,,matched_step,200,22094998,22094998,3.547530,3.532779,3.497508,66.601349,49.816080,87.388334,0.000361232,0.444444,0.935080,valid,"Matched step-200 comparison"
2026-07-22,pythia_ultrachat_filtered_v1,pythia_1.4b_ate_h1_l1,fresh,,eval,300,33218806,33218806,3.498086,3.484933,3.466620,66.926318,51.602733,85.706779,0.000478587,0.666667,1.478713,valid,"Fresh h1/l1"
2026-07-22,pythia_ultrachat_filtered_v1,pythia_1.4b_ate_h1_l1,fresh,,best_latest_eval,400,44243903,44243903,3.460216,3.448053,3.464893,67.054794,53.231739,84.708355,0.000565122,0.888889,2.021788,valid,"Latest completed evaluation; metrics file continues to training step 490"
2026-07-22,pythia_ultrachat_filtered_v1,pythia_1.4b_ate_h1_l2,sequential,pythia_1.4b_ate_h1_l1,inherited_baseline,0,0,44243903,3.460216,3.448053,,67.054794,53.231739,84.708355,0.000000000,0.000000,0.000000,exploratory,"Exact match to h1/l1 step-400 best; source identity should be persisted explicitly"
2026-07-22,pythia_ultrachat_filtered_v1,pythia_1.4b_ate_h1_l2,sequential,pythia_1.4b_ate_h1_l1,eval,50,5533790,49777693,3.456353,3.443204,3.230917,67.123081,52.496059,86.810300,0.000038921,0.111111,0.253589,valid,"Sequential local-token count"
2026-07-22,pythia_ultrachat_filtered_v1,pythia_1.4b_ate_h1_l2,sequential,pythia_1.4b_ate_h1_l1,eval,100,11052595,55296498,3.569498,3.553201,3.135565,66.480160,51.812927,91.066737,0.000126703,0.222222,0.492237,valid,"Temporary post-expansion regression"
2026-07-22,pythia_ultrachat_filtered_v1,pythia_1.4b_ate_h1_l2,sequential,pythia_1.4b_ate_h1_l1,eval,150,16579904,60823807,3.566146,3.550406,3.103590,66.519027,50.236469,89.227535,0.000207018,0.333333,0.731424,valid,"Sequential local-token count"
2026-07-22,pythia_ultrachat_filtered_v1,pythia_1.4b_ate_h1_l2,sequential,pythia_1.4b_ate_h1_l1,eval,200,22094998,66338901,3.572899,3.554857,3.058167,66.601079,52.338413,91.854966,0.000266761,0.444444,0.970379,valid,"Not comparable to fresh step 200 because source training is inherited"
2026-07-22,pythia_ultrachat_filtered_v1,pythia_1.4b_ate_h1_l2,sequential,pythia_1.4b_ate_h1_l1,eval,250,27646764,71890667,3.548205,3.532896,3.111469,66.698516,52.863899,88.439306,0.000321785,0.555556,1.209713,valid,"Sequential local-token count"
2026-07-22,pythia_ultrachat_filtered_v1,pythia_1.4b_ate_h1_l2,sequential,pythia_1.4b_ate_h1_l1,eval,300,33218806,77462709,3.531446,3.516409,3.082065,66.746020,51.655281,88.229112,0.000367063,0.666667,1.448635,valid,"Sequential local-token count"
2026-07-22,pythia_ultrachat_filtered_v1,pythia_1.4b_ate_h1_l2,sequential,pythia_1.4b_ate_h1_l1,eval,350,38722201,82966104,3.529526,3.513360,3.098332,66.759245,51.865476,90.278508,0.000403210,0.777778,1.687569,valid,"Sequential local-token count"
2026-07-22,pythia_ultrachat_filtered_v1,pythia_1.4b_ate_h1_l2,sequential,pythia_1.4b_ate_h1_l1,eval,400,44243903,88487806,3.478004,3.464246,3.337198,66.972472,52.811350,88.124015,0.000438997,0.888889,1.926841,valid,"Sequential local-token count"
2026-07-22,pythia_ultrachat_filtered_v1,pythia_1.4b_ate_h1_l2,sequential,pythia_1.4b_ate_h1_l1,best_eval,450,49777171,94021074,3.435838,3.423649,3.400733,67.238601,52.968996,84.550709,0.000481130,1.000000,2.172858,valid,"Best sequential checkpoint; causal depth advantage unproven without no-expansion continuation control"
2026-07-22,pythia_ultrachat_filtered_v1,pythia_1.4b_ate_h1_l2,sequential,pythia_1.4b_ate_h1_l1,eval,500,55310961,99554864,3.522602,3.507227,2.988437,66.839947,52.285864,89.490279,0.000517999,1.111111,2.506872,valid,"Validation regression begins"
2026-07-22,pythia_ultrachat_filtered_v1,pythia_1.4b_ate_h1_l2,sequential,pythia_1.4b_ate_h1_l1,eval,550,60829766,105073669,3.671655,3.652973,2.815749,66.334410,53.494482,91.802417,0.000551093,1.222222,2.745857,valid,"Severe generalization regression while training PPL falls"
2026-07-22,pythia_ultrachat_filtered_v1,pythia_1.4b_ate_h1_l2,sequential,pythia_1.4b_ate_h1_l1,last_eval,600,66357075,110600978,3.697037,3.679839,2.760447,66.179753,52.075670,89.174987,0.000582564,1.333333,2.984902,valid,"7.60% validation-PPL regression from step-450 best; no numerical instability"
2026-07-22,pythia_ultrachat_filtered_v1,pythia_1.4b_ate_h2_l2,later_expansion,,early_eval,10,1124355,,3.492208,3.480127,3.318814,66.952769,51.970573,82.658960,0.000000000,0.022222,0.056616,insufficient,"One metric row; no checkpoint; exact source provenance and neutral transfer unverified"
