snapshot_date,dataset_generation,variant,record_type,local_step,local_tokens,assistant_ppl,combined_ppl,train_ppl,target_top1_pct,first_answer_pct,eos_pct,plastic_drift,status,notes
2026-07-29,pythia_ultrachat_filtered_v1,pythia_1.4b_ate_h2_l2,first_stored_eval,10,1124355,3.459910,3.447700,3.363697,67.062621,53.074094,84.393064,0.000000000,valid_metric,"First stored validation occurs after ten updates; not a step-zero equivalence record"
2026-07-29,pythia_ultrachat_filtered_v1,pythia_1.4b_ate_h2_l2,eval,50,5533790,3.463608,3.451632,3.244232,67.070449,52.496059,84.971098,0.000037901,valid_metric,"Best checkpoint file exists but later overwritten by lower validation PPL"
2026-07-29,pythia_ultrachat_filtered_v1,pythia_1.4b_ate_h2_l2,eval,100,11052595,3.587017,3.569105,3.153829,66.489067,49.132948,92.012612,0.000123002,valid_metric,"Temporary validation regression"
2026-07-29,pythia_ultrachat_filtered_v1,pythia_1.4b_ate_h2_l2,matched_local_step,200,22094998,3.576314,3.565393,3.084460,66.458028,52.285864,80.399369,0.000267749,valid_metric,"Local step only; inherited source budget is unresolved"
2026-07-29,pythia_ultrachat_filtered_v1,pythia_1.4b_ate_h2_l2,eval,350,38722201,3.547387,3.530897,3.121957,66.608097,52.811350,90.488702,0.000397105,valid_metric,"Validation begins recovering"
2026-07-29,pythia_ultrachat_filtered_v1,pythia_1.4b_ate_h2_l2,eval,400,44243903,3.511111,3.499396,3.347495,66.812957,52.758802,84.287966,0.000431787,valid_metric,"Near selected minimum"
2026-07-29,pythia_ultrachat_filtered_v1,pythia_1.4b_ate_h2_l2,best_eval,450,49777171,3.454808,3.440974,3.424367,67.107696,53.179191,87.283237,0.000473031,valid_checkpoint_unresolved_lineage,"Best checkpoint; source checkpoint identity and full-validation step-zero equivalence are not persisted"
2026-07-29,pythia_ultrachat_filtered_v1,pythia_1.4b_ate_h2_l2,eval,500,55310961,3.544590,3.530946,3.015337,66.670715,52.863899,85.864425,0.000507618,valid_metric,"Post-best validation regression begins"
2026-07-29,pythia_ultrachat_filtered_v1,pythia_1.4b_ate_h2_l2,eval,550,60829766,3.656654,3.637985,2.841612,66.149793,53.757225,92.590646,0.000536723,valid_metric,"Training improves while validation worsens"
2026-07-29,pythia_ultrachat_filtered_v1,pythia_1.4b_ate_h2_l2,eval,600,66357075,3.711306,3.695764,2.743664,66.133599,51.970573,86.600105,0.000565803,valid_metric,"Generalization collapse"
2026-07-29,pythia_ultrachat_filtered_v1,pythia_1.4b_ate_h2_l2,last_eval,650,71872169,3.725381,3.706164,2.691586,66.103369,53.021545,91.592223,0.000594999,valid_metric,"7.83% validation-PPL regression from step-450 best"
